[0.31, 0.4, 0.2777777777777778, 0.125, 0.21212121212121213, 0.0, 0.0, 1.0]
[0.36, 0.4, 0.2777777777777778, 0.175, 0.21212121212121213, 0.0, 1.0, 0.0]
[0.3, 0.35555555555555557, 0.2777777777777778, 0.125, 0.09090909090909091, 0.0, 1.0, 0.0]
[0.4, 0.4222222222222222, 0.2777777777777778, 0.25, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.33, 0.28888888888888886, 0.2777777777777778, 0.1, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.37, 0.4, 0.2777777777777778, 0.1, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.39, 0.4444444444444444, 0.2777777777777778, 0.125, 0.3333333333333333, 0.0, 1.0, 1.0]
[0.35, 0.37777777777777777, 0.2777777777777778, 0.1, 0.21212121212121213, 0.0, 1.0, 1.0]
[0.35, 0.35555555555555557, 0.2777777777777778, 0.025, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.37, 0.4, 0.2777777777777778, 0.125, 0.24242424242424243, 0.0, 1.0, 1.0]
[0.41, 0.37777777777777777, 0.2777777777777778, 0.225, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.43, 0.4444444444444444, 0.2777777777777778, 0.2, 0.2727272727272727, 0.0, 1.0, 1.0]
[0.47, 0.4888888888888889, 0.2777777777777778, 0.275, 0.42424242424242425, 0.0, 1.0, 1.0]
[0.37, 0.4444444444444444, 0.2777777777777778, 0.175, 0.24242424242424243, 0.0, 1.0, 0.0]
[0.38, 0.4666666666666667, 0.2777777777777778, 0.225, 0.21212121212121213, 0.0, 1.0, 0.0]
[0.34, 0.4, 0.2777777777777778, 0.15, 0.21212121212121213, 0.0, 1.0, 0.0]
[0.33, 0.28888888888888886, 0.2777777777777778, 0.2, 0.3333333333333333, 0.0, 1.0, 0.0]
[0.37, 0.4, 0.2777777777777778, 0.125, 0.18181818181818182, 0.0, 1.0, 1.0]
[0.43, 0.5111111111111111, 0.2777777777777778, 0.15, 0.30303030303030304, 0.0, 1.0, 1.0]
[0.35, 0.4222222222222222, 0.2777777777777778, 0.125, 0.15151515151515152, 0.0, 1.0, 1.0]
[0.29, 0.37777777777777777, 0.2777777777777778, 0.125, 0.12121212121212122, 0.0, 0.0, 1.0]
[0.36, 0.4666666666666667, 0.2777777777777778, 0.225, 0.21212121212121213, 0.0, 0.0, 1.0]
[0.22, 0.35555555555555557, 0.2777777777777778, 0.125, 0.030303030303030304, 0.0, 0.0, 0.0]
[0.36, 0.4888888888888889, 0.2777777777777778, 0.2, 0.24242424242424243, 0.0, 0.0, 1.0]
[0.25, 0.28888888888888886, 0.2777777777777778, 0.1, 0.12121212121212122, 0.0, 0.0, 1.0]
[0.26, 0.35555555555555557, 0.2777777777777778, 0.1, 0.12121212121212122, 0.0, 0.0, 1.0]
[0.28, 0.4, 0.0, 0.1, 0.30303030303030304, 0.03571428571428571, 0.0, 1.0]
[0.36, 0.4666666666666667, 0.2777777777777778, 0.175, 0.24242424242424243, 0.0, 0.0, 1.0]
[0.24, 0.35555555555555557, 0.0, 0.175, 0.24242424242424243, 0.0, 0.0, 0.0]
[0.32, 0.37777777777777777, 0.2777777777777778, 0.15, 0.21212121212121213, 0.0, 0.0, 1.0]
[0.35, 0.4444444444444444, 0.2777777777777778, 0.125, 0.30303030303030304, 0.0, 0.0, 1.0]
[0.29, 0.28888888888888886, 0.2777777777777778, 0.15, 0.24242424242424243, 0.0, 0.0, 1.0]
[0.38, 0.5111111111111111, 0.2777777777777778, 0.15, 0.36363636363636365, 0.0, 0.0, 1.0]
[0.37, 0.5333333333333333, 0.0, 0.25, 0.36363636363636365, 0.0, 0.0, 1.0]
[0.37, 0.5111111111111111, 0.2777777777777778, 0.15, 0.36363636363636365, 0.0, 0.0, 1.0]
[0.37, 0.4444444444444444, 0.2777777777777778, 0.175, 0.30303030303030304, 0.03571428571428571, 0.0, 1.0]
[0.44, 0.6, 0.2777777777777778, 0.25, 0.45454545454545453, 0.0, 0.0, 1.0]
[0.28, 0.37777777777777777, 0.2777777777777778, 0.125, 0.09090909090909091, 0.0, 0.0, 1.0]
[0.37, 0.5111111111111111, 0.2777777777777778, 0.15, 0.30303030303030304, 0.0, 0.0, 1.0]
[0.31, 0.4, 0.2777777777777778, 0.15, 0.12121212121212122, 0.0, 0.0, 1.0]
[0.28, 0.37777777777777777, 0.2777777777777778, 0.1, 0.06060606060606061, 0.0, 0.0, 1.0]
[0.3, 0.4, 0.2777777777777778, 0.1, 0.15151515151515152, 0.0, 0.0, 1.0]
[0.27, 0.37777777777777777, 0.2777777777777778, 0.1, 0.030303030303030304, 0.0, 0.0, 1.0]
[0.26, 0.37777777777777777, 0.2777777777777778, 0.075, 0.030303030303030304, 0.0, 0.0, 1.0]
[0.31, 0.4222222222222222, 0.2777777777777778, 0.15, 0.30303030303030304, 0.0, 0.0, 0.0]
[0.3, 0.35555555555555557, 0.2777777777777778, 0.125, 0.2727272727272727, 0.0, 0.0, 1.0]
[0.29, 0.4, 0.2777777777777778, 0.1, 0.21212121212121213, 0.0, 0.0, 0.0]
[0.34, 0.4444444444444444, 0.2777777777777778, 0.125, 0.2727272727272727, 0.0, 0.0, 1.0]
[0.29, 0.35555555555555557, 0.2777777777777778, 0.125, 0.2727272727272727, 0.0, 0.0, 1.0]
